classic rock,692,1
rock,1171,1
hard rock,217,1
glam rock,74,1
80s,467,1
singer-songwriter,368,2
country,49,2
dutch,308,2
progressive rock,115,3
blues,168,3
60s,168,3
psychedelic,42,3
70s,274,4
soft rock,57,4
pop,786,5
piano,17,5
heavy metal,46,8
thrash metal,12,8
metal,46,8
metallica,11,8
grunge,46,9
alternative rock,188,9
90s,84,9
alternative,355,9
nederlandstalig,170,10
folk,224,10
kleinkunst,26,10
britpop,49,11
coldplay,18,11
psychedelic rock,42,13
pop rock,59,14
male vocalists,31,14
guns n roses,11,17
British,20,18
post-punk,44,18
punk,44,18
pub rock,16,18
guitar,31,18
female vocalists,214,20
acoustic,81,20
funk,71,21
soul,188,21
American,17,23
british,264,34
soundtrack,12,38
nederpop,111,39
nederlands,39,39
new wave,116,40
christmas,63,41
disco,61,44
swedish,27,44
abba,23,44
fleetwood mac,18,45
jazz,56,49
rhythm and blues,40,56
 pop rock and beat,31,59
 alternative rock,21,61
u2,22,61
irish,41,61
rock and roll,14,62
classical,14,62
indie,157,64
indie rock,68,64
electronic,112,66
symphonic rock,16,68
netherlands,25,75
rap,46,76
hip-hop,54,76
hip hop,31,76
funk rock,12,84
blues rock,48,90
swing,17,92
southern rock,30,108
Rock and Roll,15,113
rock n roll,17,113
oldies,59,113
chanson,21,117
reggae,31,123
roots reggae,12,123
ska,37,123
levenslied,14,128
canadian,17,135
michael jackson,20,136
dance,112,136
synthpop,26,138
synth pop,31,138
industrial,11,140
german,28,140
rnb,52,156
duo,14,160
american,13,165
singer,16,172
songwriter,15,172
french,23,178
chanson francaise,13,178
belgian,11,203
electronica,25,203
limburg,11,222
house,19,255
folk rock,22,275
punk rock,23,289
pop punk,12,289
techno,22,293
ambient,12,318
indie pop,26,362
indie folk,13,382
motown,13,467
british artist,12,470
australian,18,498
chillout,12,536
New Wave,11,548
